,Team,SNo.,SGold,SSilver,SBronze,STotal,WNo.,WGold,WSilver,WBronze,WTotal,TNo.,TGold,TSilver,TBronze,TTotal
0,American Samoa,10,0,0,0,0,2,0,0,0,0,12,0,0,0,0
1,Andorra,13,0,0,0,0,13,0,0,0,0,26,0,0,0,0
2,Angola,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0
3,Antigua and Barbuda,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0
4,Aruba,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0
5,Bangladesh,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0
6,Belize,14,0,0,0,0,0,0,0,0,0,14,0,0,0,0
7,Benin,13,0,0,0,0,0,0,0,0,0,13,0,0,0,0
8,Bhutan,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0
9,Bolivia,16,0,0,0,0,7,0,0,0,0,23,0,0,0,0
10,Bosnia and Herzegovina,9,0,0,0,0,8,0,0,0,0,17,0,0,0,0
11,British Virgin Islands,11,0,0,0,0,2,0,0,0,0,13,0,0,0,0
12,Brunei,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0
13,Cambodia,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0
14,Cayman Islands,12,0,0,0,0,2,0,0,0,0,14,0,0,0,0
15,Central African Republic,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0
16,Chad,14,0,0,0,0,0,0,0,0,0,14,0,0,0,0
17,Comoros,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0
18,Republic of the Congo,14,0,0,0,0,0,0,0,0,0,14,0,0,0,0
19,Democratic Republic of the Congo,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0
20,Cook Islands,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0
21,El Salvador,13,0,0,0,0,0,0,0,0,0,13,0,0,0,0
22,Eswatini,12,0,0,0,0,1,0,0,0,0,13,0,0,0,0
23,Equatorial Guinea,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0
24,The Gambia,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0
25,Guam,10,0,0,0,0,1,0,0,0,0,11,0,0,0,0
26,Guinea,13,0,0,0,0,0,0,0,0,0,13,0,0,0,0
